	Frame	X pixels	Y pixels	Z pixels	
	264	960	602.207	0	
	265	960	603.086	0	
	266	960	595.719	0	
	267	960	586.602	0	
	268	960	576.109	0	
	269	960	565.02	0	
	270	960	553.875	0	
	271	960	543.563	0	
	272	960	534.426	0	
	273	960	526.879	0	
	274	960	522.137	0	
	275	960	520.5	0	
	276	960	519.719	0	
	277	960	517.754	0	
	278	960	514.637	0	
	279	960	510.5	0	
	280	960	505.234	0	
	281	960	499.051	0	
	282	960	492.258	0	
	283	960	484.637	0	
	284	960	476.566	0	
	285	960	467.836	0	
	286	960	458.801	0	
	287	960	449.563	0	
	288	960	439.922	0	
	289	960	430.5	0	
	290	960	420.723	0	
	291	960	411.344	0	
	292	960	401.836	0	
	293	960	392.801	0	
	294	960	384.344	0	
	295	960	376.059	0	
	296	960	368.563	0	
	297	960	361.637	0	
	298	960	355.566	0	
	299	960	350.465	0	
	300	960	346.105	0	
	301	960	342.875	0	
	302	960	340.984	0	
	303	960	340.5	0	
	304	960	340.5	0	
	305	960	340.5	0	
	306	960	340.5	0	
	307	960	340.5	0	
	308	960	340.5	0	
	309	960	340.5	0	
	310	960	340.5	0	
	311	960	340.5	0	
	312	960	340.5	0	
	313	960	340.5	0	
	314	960	340.5	0	
	315	960	340.5	0	
	316	960	340.5	0	
	317	960	340.5	0	
	318	960	340.5	0	
	319	960	340.5	0	
	320	960	340.5	0	
	321	960	340.5	0	
	322	960	340.5	0	
	323	960	340.5	0	
	324	960	340.5	0	
	325	960	340.5	0	
	326	960	340.5	0	
	327	960	340.5	0	
	328	960	340.5	0	
	329	960	340.5	0	
	330	960	340.5	0	
	331	960	340.5	0	
	332	960	340.5	0	
	333	960	340.5	0	
	334	960	340.5	0	
	335	960	340.5	0	
	336	960	340.5	0	
	337	960	340.5	0	
	338	960	340.5	0	
	339	960	340.5	0	
	340	960	340.5	0	
	341	960	340.5	0	
	342	960	340.5	0	
	343	960	340.5	0	
	344	960	340.5	0	
	345	960	340.5	0	
	346	960	340.5	0	
	347	960	340.5	0	
	348	960	340.5	0	
	349	960	340.5	0	
	350	960	340.5	0	
	351	960	340.5	0	
	352	960	340.5	0	
	353	960	340.5	0	
	354	960	340.5	0	
	355	960	340.5	0	
	356	960	340.5	0	
	357	960	340.5	0	
	358	960	340.5	0	
	359	960	340.5	0	
	360	960	340.535	0	
	361	960	340.563	0	
	362	960	340.602	0	
	363	960	340.672	0	
	364	960	340.758	0	
	365	960	340.836	0	
	366	960	341.027	0	
	367	960	341.273	0	
	368	960	341.469	0	
	369	960	341.602	0	
	370	960	341.719	0	
	371	960	341.875	0	
	372	960	342.234	0	
	373	960	342.5	0	
	374	960	342.672	0	
	375	960	342.836	0	
	376	960	343.273	0	
	377	960	343.563	0	
	378	960	343.758	0	
	379	960	344.105	0	
	380	960	344.5	0	
	381	960	344.719	0	
	382	960	345.105	0	
	383	960	345.535	0	
	384	960	345.801	0	
	385	960	346.27	0	
	386	960	346.602	0	
	387	960	346.906	0	
	388	960	347.5	0	
	389	960	347.758	0	
	390	960	348.371	0	
	391	960	348.676	0	
	392	960	349.145	0	
	393	960	349.602	0	
	394	960	350.039	0	
	395	960	350.563	0	
	396	960	350.945	0	
	397	960	351.563	0	
	398	960	351.906	0	
	399	960	352.563	0	
	400	960	352.914	0	
	401	960	353.563	0	
	402	960	353.961	0	
	403	960	354.566	0	
	404	960	355.047	0	
	405	960	355.602	0	
	406	960	356.133	0	
	407	960	356.672	0	
	408	960	357.273	0	
	409	960	357.719	0	
	410	960	358.426	0	
	411	960	358.801	0	
	412	960	359.5	0	
	413	960	359.875	0	
	414	960	360.563	0	
	415	960	361.063	0	
	416	960	361.637	0	
	417	960	362.313	0	
	418	960	362.758	0	
	419	960	363.469	0	
	420	960	363.836	0	
	421	960	364.563	0	
	422	960	365.047	0	
	423	960	365.637	0	
	424	960	366.277	0	
	425	960	366.758	0	
	426	960	367.469	0	
	427	960	367.836	0	
	428	960	368.563	0	
	429	960	369.039	0	
	430	960	369.637	0	
	431	960	370.258	0	
	432	960	370.719	0	
	433	960	371.426	0	
	434	960	371.801	0	
	435	960	372.5	0	
	436	960	372.875	0	
	437	960	373.563	0	
	438	960	374.047	0	
	439	960	374.637	0	
	440	960	375.152	0	
	441	960	375.672	0	
	442	960	376.25	0	
	443	960	376.719	0	
	444	960	377.336	0	
	445	960	377.719	0	
	446	960	378.352	0	
	447	960	378.719	0	
	448	960	379.32	0	
	449	960	379.676	0	
	450	960	380.234	0	
	451	960	380.637	0	
	452	960	381.109	0	
	453	960	381.602	0	
	454	960	381.922	0	
	455	960	382.535	0	
	456	960	382.801	0	
	457	960	383.422	0	
	458	960	383.676	0	
	459	960	384.082	0	
	460	960	384.535	0	
	461	960	384.801	0	
	462	960	385.352	0	
	463	960	385.602	0	
	464	960	385.875	0	
	465	960	386.422	0	
	466	960	386.637	0	
	467	960	386.836	0	
	468	960	387.328	0	
	469	960	387.563	0	
	470	960	387.758	0	
	471	960	388.031	0	
	472	960	388.426	0	
	473	960	388.602	0	
	474	960	388.758	0	
	475	960	388.906	0	
	476	960	389.25	0	
	477	960	389.469	0	
	478	960	389.566	0	
	479	960	389.676	0	
	480	960	389.801	0	
	481	960	389.875	0	
	482	960	390.051	0	
	483	960	390.207	0	
	484	960	390.355	0	
	485	960	390.426	0	
	486	960	390.465	0	
	487	960	390.469	0	
	488	960	390.5	0	
	489	960	393.563	0	
	490	960	402.328	0	
	491	960	415.5	0	
	492	960	431.801	0	
	493	960	450.602	0	
	494	960	470.469	0	
	495	960	490.227	0	
	496	960	508.832	0	
	497	960	525.469	0	
	498	960	538.563	0	
	499	960	547.422	0	
	500	960	550.5	0	
	501	960	550.5	0	
	502	960	550.563	0	
	503	960	550.637	0	
	504	960	550.801	0	
	505	960	551.063	0	
	506	960	551.469	0	
	507	960	551.676	0	
	508	960	552.059	0	
	509	960	552.535	0	
	510	960	552.875	0	
	511	960	553.5	0	
	512	960	553.875	0	
	513	960	554.563	0	
	514	960	555.059	0	
	515	960	555.672	0	
	516	960	556.426	0	
	517	960	556.875	0	
	518	960	556.875	0	
	519	960	556.422	0	
	520	960	555.602	0	
	521	960	554.836	0	
	522	960	554.27	0	
	523	960	553.563	0	
	524	960	552.758	0	
	525	960	552.145	0	
	526	960	551.535	0	
	527	960	550.754	0	
	528	960	550.086	0	
	529	960	549.5	0	
	530	960	548.719	0	
	531	960	548.051	0	
	532	960	547.5	0	
	533	960	546.801	0	
	534	960	546.391	0	
	535	960	546.758	0	
	536	960	547.465	0	
	537	960	547.801	0	
	538	960	548.426	0	
	539	960	548.676	0	
	540	960	549.059	0	
	541	960	549.5	0	
	542	960	549.672	0	
	543	960	549.836	0	
	544	960	550.121	0	
	545	960	550.387	0	
	546	960	550.465	0	
	547	960	550.5	0	
	548	960	544.563	0	
	549	960	520.469	0	
	550	960	486.258	0	
	551	960	446.984	0	
	552	960	407.836	0	
	553	960	373.719	0	
	554	960	349.563	0	
	555	960	340.5	0	
	556	960	340.5	0	
	557	960	340.5	0	
	558	960	340.5	0	
	559	960	340.5	0	
	560	960	340.5	0	
	561	960	340.5	0	
	562	960	340.5	0	
	563	960	340.5	0	
	564	960	340.5	0	
	565	960	340.5	0	
	566	960	340.5	0	
	567	960	340.5	0	
	568	960	340.5	0	
	569	960	340.5	0	
	570	960	340.5	0	
	571	960	340.5	0	
	572	960	340.5	0	
	573	960	340.5	0	
	574	960	340.5	0	
	575	960	340.5	0	
	576	960	340.5	0	
	577	960	340.5	0	
	578	960	340.5	0	
	579	960	340.5	0	
	580	960	340.5	0	
	581	960	340.5	0	
	582	960	340.5	0	
	583	960	340.5	0	
	584	960	340.5	0	
	585	960	340.5	0	
	586	960	340.5	0	
	587	960	340.5	0	
	588	960	340.5	0	
	589	960	340.5	0	
	590	960	340.5	0	
	591	960	340.5	0	
	592	960	340.5	0	
	593	960	340.5	0	
	594	960	340.5	0	
	595	960	340.5	0	
	596	960	340.5	0	
	597	960	340.5	0	
	598	960	340.5	0	
	599	960	340.5	0	
	600	960	340.5	0	
	601	960	340.5	0	
	602	960	340.5	0	
	603	960	340.5	0	
	604	960	340.5	0	
	605	960	340.5	0	
	606	960	340.5	0	
	607	960	340.5	0	
	608	960	340.5	0	
	609	960	340.5	0	
